ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09,integrated_ofi
0,-23,-1,-200,-27,-10,-15,-110,-10,-110,-59.84778803464758
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,-1,-200,-27,-10,-15,-110,-10,-110,-100,-62.64959006836769
-1,-200,-27,-10,-15,-110,-10,-110,-100,-55,-59.0508825359708
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
1,1,200,27,10,15,110,10,110,100,62.678332919043484
0,0,0,0,0,0,0,0,0,0,0.0
-1,-200,-27,-10,-15,-110,-10,-110,-100,-55,-59.0508825359708
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-27,-10,-15,-110,-10,-110,-100,-55,-1,-45.59391473777264
0,200,27,10,15,110,10,110,100,55,59.022139685295
0,0,28,200,44,154,400,1,600,5,145.36185697942278
0,0,-200,-28,-200,-44,-154,-400,-1,-600,-158.59466473182778
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,0,200,44,154,400,1,600,5,141.40589811194596
0,0,0,-27,-200,-44,-154,-400,-1,-600,-130.17275859966583
0,0,0,200,44,154,400,1,600,5,141.40589811194596
0,0,0,-26,-200,-44,-154,-400,-1,-600,-130.00770152090985
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-27,-10,-15,-110,-10,-110,-100,-55,-1,-45.59391473777264
0,200,27,10,15,110,10,110,100,55,59.022139685295
0,0,0,200,44,154,400,1,600,5,141.40589811194596
0,0,0,-26,-200,-44,-154,-400,-1,-600,-130.00770152090985
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-27,-10,-15,-110,-10,-110,-100,-55,-1,-45.59391473777264
0,-10,-15,-110,-10,-110,-100,-55,-1,-50,-52.83094925525167
0,0,26,15,110,10,110,100,55,1,45.72831944931293
0,0,0,400,15,110,10,110,100,55,103.83051679470509
0,200,10,26,0,0,0,0,0,0,21.4535354835265
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,-10,-26,-15,-110,-10,-110,-100,-55,-1,-46.515779898473
0,200,10,26,15,110,10,110,100,55,59.26122077585073
0,-10,-26,-15,-110,-10,-110,-100,-55,-1,-46.515779898473
0,400,10,26,15,110,10,110,100,55,75.01042975905217
0,400,0,0,0,0,0,0,0,0,31.498417966402886
0,-10,-26,-15,-110,-10,-110,-100,-55,-1,-46.515779898473
0,400,10,26,15,110,10,110,100,55,75.01042975905217
0,-10,-26,-15,-110,-10,-110,-100,-55,-1,-46.515779898473
0,0,200,26,15,110,10,110,100,55,70.35601839338499
0,0,-26,-15,-110,-10,-110,-100,-55,-1,-45.72831944931293
0,0,400,26,15,110,10,110,100,55,98.61286744679099
0,0,0,0,0,0,0,0,0,0,0.0
-10,-400,-26,-15,-110,-10,-110,-100,-55,-1,-77.51416592247382
-19,-150,-25,-400,-26,-200,-44,-154,-400,-1,-159.09068702828944
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,-19,-150,-25,-400,-26,-200,-44,-154,-400,-147.7107364792714
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,-26,-15,-110,-10,-110,-100,-55,-1,-50,-54.090885973907774
0,-15,-110,-10,-110,-100,-55,-1,-50,-50,-57.78522088071276
0,0,29,110,10,110,100,55,1,50,54.021468239830014
0,150,25,400,26,200,44,154,400,1,158.54457286544925
0,0,200,29,110,10,110,100,55,1,72.62257722835948
150,25,400,26,200,44,154,400,1,600,192.801478351992
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,0,0,0,0,0,0,0,0,0.0
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-400,0,0,0,0,0,0,0,-56.51369810681201
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,200,-29,-110,-10,-110,-100,-55,-1,-50,-38.27225925662857
0,0,0,200,44,154,400,1,600,5,141.40589811194596
0,0,0,-27,-200,-44,-154,-400,-1,-600,-130.17275859966583
0,200,15,29,110,10,110,100,55,1,62.234200837160365
0,-15,-29,-110,-10,-110,-100,-55,-1,-50,-55.20265891357012
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-400,0,0,0,0,0,0,0,-56.51369810681201
0,0,-29,0,0,0,0,0,0,0,-4.09724311274387
0,0,0,26,110,10,110,100,55,1,43.87055693868562
0,0,0,200,44,154,400,1,600,5,141.40589811194596
0,0,0,-27,-200,-44,-154,-400,-1,-600,-130.17275859966583
0,0,-26,-110,-10,-110,-100,-55,-1,-50,-53.59761550402892
0,0,200,26,110,10,110,100,55,1,72.12740599209162
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,200,-26,-110,-10,-110,-100,-55,-1,-50,-37.84840652082748
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,0,200,26,110,10,110,100,55,1,72.12740599209162
0,200,-26,-110,-10,-110,-100,-55,-1,-50,-37.84840652082748
0,0,-110,-10,-110,-100,-55,-1,-50,-50,-56.60403020697265
0,0,28,110,10,110,100,55,1,50,53.880183994562984
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,0,200,28,110,10,110,100,55,1,72.45752014960352
0,0,-400,0,0,0,0,0,0,0,-56.51369810681201
0,0,-28,-110,-10,-110,-100,-55,-1,-50,-53.880183994562984
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,-400,27,200,44,154,400,1,600,5,113.7221547677529
0,0,-28,0,0,0,0,0,0,0,-3.9559588674768404
0,0,0,29,0,0,0,0,0,0,4.786655283922613
0,0,200,44,154,400,1,600,5,63,162.80672426134657
0,0,-30,-200,-44,-154,-400,-1,-600,-5,-145.64442546995684
500,10,15,200,139,10,110,100,55,1,93.85080702990807
-1,-150,-425,-30,-200,-44,-154,-400,-1,-600,-202.5543836624983
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,0,-29,0,0,0,0,0,-3.982168921621313
0,0,26,0,0,0,0,0,0,0,3.6733903769427805
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,200,41,0,0,0,0,0,0,35.024189282400044
0,0,-41,-110,-10,-110,-100,-55,-1,-50,-55.716879183034365
0,0,400,41,110,10,110,100,55,1,102.8601112268369
0,0,0,-26,0,0,0,0,0,0,-4.291484047654757
0,0,0,0,0,27,0,0,0,0,3.161400180423436
0,0,0,0,0,-27,0,0,0,0,-3.161400180423436
0,0,0,0,27,0,0,0,0,0,3.7075365821991535
0,0,-15,-137,-10,-110,-100,-55,-1,-50,-56.5000299325023
0,0,400,0,0,0,0,0,0,0,56.51369810681201
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
